batter,stand,hev_R,ab_R,hev_L,ab_L,wHEV
405395,R,76.49,105,78.68,104,77.58
408234,R,80.7,211,79.83,82,80.46
425772,R,47.0,2,82.0,2,64.5
425784,R,64.58,26,87.41,17,73.61
425794,R,45.71,28,41.91,11,44.64
425877,R,77.82,252,80.39,54,78.27
435559,R,75.87,85,70.9,62,73.77
443558,R,77.97,212,82.1,117,79.44
444482,L,75.64,282,71.8,54,75.02
444489,R,76.23,62,73.07,55,74.74
444876,R,67.83,118,73.39,44,69.34
445055,L,75.0,9,76.33,3,75.33
446334,R,87.34,88,84.85,40,86.56
446653,S,80.5,4,69.0,2,76.67
448179,L,29.43,7,22.0,3,27.2
450203,R,46.94,18,57.25,4,48.81
451594,S,73.5,10,94.5,4,79.5
452657,L,73.69,13,60.88,8,68.81
452678,S,75.61,141,77.87,75,76.39
453281,L,42.22,9,82.0,1,46.2
453286,R,60.68,19,66.0,10,62.51
453527,R,62.0,1,52.0,1,57.0
453562,R,58.71,7,15.67,3,45.8
453568,L,77.87,269,72.04,102,76.27
453943,R,66.83,23,86.17,6,70.83
455117,R,76.42,139,82.84,67,78.51
455139,R,77.61,38,86.83,12,79.82
456034,L,47.55,11,52.67,3,48.65
456501,R,38.0,13,42.0,11,39.83
456715,R,72.96,113,75.3,47,73.65
456781,R,79.38,143,76.95,94,78.42
457705,R,77.25,184,81.18,107,78.7
457708,R,78.09,153,79.39,57,78.44
457727,R,65.86,14,46.0,2,63.38
457759,R,82.75,244,84.09,116,83.18
457763,R,77.66,173,79.03,69,78.05
457803,L,78.67,12,57.89,9,69.76
458015,L,87.3,187,81.8,82,85.62
458708,R,65.0,1,38.5,2,47.33
458731,L,74.3,171,65.81,52,72.32
459964,L,78.03,31,70.67,6,76.84
460077,R,60.28,18,90.5,2,63.3
461865,S,68.15,27,77.67,9,70.53
462101,R,74.03,251,73.78,118,73.95
467055,S,78.8,44,79.33,3,78.83
467092,R,75.41,86,78.23,30,76.14
467793,S,78.59,261,71.18,127,76.16
467827,L,80.58,55,70.75,12,78.82
474463,L,47.2,15,-3.0,1,44.06
474568,R,77.58,36,75.86,28,76.83
474832,L,78.35,127,78.87,39,78.47
475582,R,75.55,89,79.12,65,77.06
