total,bet
0.01,210
0.02,210
0.03,215
0.04,215
0.05,220
0.06,220
0.07,220
0.08,225
0.09,225
0.1,230
0.11,230
0.12,230
0.13,235
0.14,235
0.15,240
0.16,240
0.17,240
0.18,245
0.19,245
0.2,250
0.21,250
0.22,250
0.23,255
0.24,255
0.25,260
0.26,260
0.27,260
0.28,265
0.29,265
0.3,270
0.31,270
0.32,270
0.33,275
0.34,275
0.35,280
0.36,280
0.37,280
0.38,285
0.39,285
0.4,290
0.41,290
0.42,290
0.43,295
0.44,295
0.45,300
0.46,300
0.47,300
0.48,305
0.49,305
0.5,310
0.51,310
0.52,315
0.53,315
0.54,315
0.55,320
0.56,320
0.57,325
0.58,325
0.59,325
0.6,330
0.61,330
0.62,335
0.63,335
0.64,335
0.65,340
0.66,340
0.67,345
0.68,345
0.69,345
0.7,350
0.71,350
0.72,355
0.73,355
0.74,355
0.75,360
0.76,360
0.77,365
0.78,365
0.79,365
0.8,370
0.81,370
0.82,375
0.83,375
0.84,375
0.85,380
0.86,380
0.87,385
0.88,385
0.89,385
0.9,390
0.91,390
0.92,395
0.93,395
0.94,395
0.95,400
0.96,400
0.97,405
0.98,405
0.99,405
1.0,410
1.01,410
1.02,415
1.03,415
1.04,415
1.05,420
1.06,420
1.07,425
1.08,425
1.09,425
1.1,430
1.11,430
1.12,435
1.13,435
1.14,435
1.15,440
1.16,440
1.17,445
1.18,445
1.19,445
1.2,450
1.21,450
1.22,455
1.23,455
1.24,455
1.25,460
1.26,460
1.27,465
1.28,465
1.29,465
1.3,470
1.31,470
1.32,475
1.33,475
1.34,475
1.35,480
1.36,480
1.37,485
1.38,485
1.39,485
1.4,490
1.41,490
1.42,495
1.43,495
1.44,495
1.45,500
1.46,500
1.47,505
1.48,505
1.49,505
1.5,510
1.51,510
1.52,515
1.53,515
1.54,520
1.55,520
1.56,520
1.57,525
1.58,525
1.59,530
1.6,530
1.61,530
1.62,535
1.63,535
1.64,540
1.65,540
1.66,540
1.67,545
1.68,545
1.69,550
1.7,550
1.71,550
1.72,555
1.73,555
1.74,560
1.75,560
1.76,560
1.77,565
1.78,565
1.79,570
1.8,570
1.81,570
1.82,575
1.83,575
1.84,580
1.85,580
1.86,580
1.87,585
1.88,585
1.89,590
1.9,590
1.91,590
1.92,595
1.93,595
1.94,600
1.95,600
1.96,600
1.97,605
1.98,605
1.99,610
2.0,610
