pitcher,outs,innings,walks,hits,runners,whip,runs
425794,442,147.33333333333334,34,129,163,1.1567653214458855,-0.09701034552223109
425844,428,142.66666666666666,29,134,163,1.1860998018899265,-0.07886340628837873
429722,146,48.666666666666664,14,48,62,1.3026622980723,-0.006755344268913888
431148,21,7.0,1,8,9,1.3290823859441898,0.009588689165692887
433589,181,60.333333333333336,9,54,63,1.1630450045636451,-0.09312559875934845
445213,90,30.0,6,46,52,1.5032924564288883,0.11735877798801497
445276,141,47.0,26,30,56,1.259327905943194,-0.033562929363285754
445926,55,18.333333333333332,6,17,23,1.3112749129076147,-0.0014273958718329371
446099,1,0.3333333333333333,1,3,4,1.4216830072355178,0.06687342106323935
446321,123,41.0,14,46,60,1.3996434802397024,0.05323929661031568
446372,158,52.666666666666664,23,44,67,1.3004219128932593,-0.0081412946279813
448179,344,114.66666666666667,43,110,153,1.3348643925765553,0.013165562572652556
448281,111,37.0,15,41,56,1.420044647433342,0.06585989652408863
448855,164,54.666666666666664,35,53,88,1.4920325853087286,0.11039318003279175
450203,400,133.33333333333334,45,116,161,1.238021768617123,-0.04674336322513273
451584,107,35.666666666666664,15,36,51,1.3797114883262847,0.04090893859520017
452657,269,89.66666666666667,32,115,147,1.5437702640111162,0.14239921856835858
453178,114,38.0,9,34,43,1.2383335488841027,-0.046550489259971184
453192,77,25.666666666666668,11,38,49,1.555725699067909,0.1497951073042697
453265,121,40.333333333333336,13,27,40,1.1662387746629663,-0.09114986402527547
453268,140,46.666666666666664,21,57,78,1.5140296358631458,0.12400102764735821
453281,146,48.666666666666664,14,60,74,1.4359606033418755,0.07570584846695005
453284,78,26.0,7,27,34,1.325332732681007,0.007269073175056984
453286,381,127.0,31,91,122,1.052943639871928,-0.16123666615787424
453343,148,49.333333333333336,15,40,55,1.2159006480119265,-0.06042796323613342
453562,259,86.33333333333333,36,117,153,1.6310588005060211,0.19639778079299575
455119,93,31.0,4,36,40,1.3166720114460504,0.0019113651266084997
456034,164,54.666666666666664,14,65,79,1.3983056754759768,0.05241170186902144
456501,310,103.33333333333333,23,112,135,1.3150183037214995,0.0008883460332509419
456713,9,3.0,1,4,5,1.3587581988652364,0.027946783996133373
457915,17,5.666666666666667,3,11,14,1.4730973619282592,0.09867944442665799
457918,345,115.0,36,139,175,1.4727222913503577,0.09844741771670584
458676,50,16.666666666666668,10,26,36,1.5729864416946724,0.16047297317534126
458677,73,24.333333333333332,12,22,34,1.3589585088172158,0.028070700031852525
458681,357,119.0,35,91,126,1.1304179652715938,-0.11330938556760073
458708,139,46.333333333333336,5,65,70,1.4285547085703814,0.07112440300221845
459429,151,50.333333333333336,8,35,43,1.0717643738015745,-0.14959375618340498
461325,27,9.0,1,9,10,1.2961541869738586,-0.010781401483592301
461872,37,12.333333333333334,1,21,22,1.439187167553191,0.0777018703425909
465657,91,30.333333333333332,8,32,40,1.328916082610265,0.009485810353815682
467008,6,2.0,2,2,4,1.3670327182157813,0.03306557926950171
468504,128,42.666666666666664,18,38,56,1.324274948618406,0.006614705249803454
471911,34,11.333333333333334,3,18,21,1.4475224214297204,0.08285823729733066
472551,7,2.3333333333333335,2,4,6,1.4023797364926969,0.05493200345903804
472610,39,13.0,1,10,11,1.2191702103206525,-0.05840534181452928
474463,230,76.66666666666667,20,82,102,1.332533054054769,0.011723346523553002
475054,2,0.6666666666666666,1,1,2,1.3628139102734267,0.03045573412446001
475479,31,10.333333333333334,4,9,13,1.32075830038502,0.004439231171787128
476454,3,1.0,1,1,2,1.3520890836686958,0.023821126190601394
476594,27,9.0,9,11,20,1.4947363757199819,0.1120658028149707
476595,165,55.0,10,60,70,1.3000657602252517,-0.008361618312821673
477132,318,106.0,19,88,107,1.1012061400188353,-0.13138044766747203
488748,47,15.666666666666666,12,18,30,1.4953517489631423,0.11244648591147466
488984,24,8.0,3,5,8,1.281893878436655,-0.019603134425966395
489119,396,132.0,42,121,163,1.2590806011948734,-0.03371591738871127
489265,132,44.0,12,32,44,1.163002849151789,-0.09315167700194049
489334,202,67.33333333333333,9,69,78,1.2261480036949604,-0.054088729062805374
491624,128,42.666666666666664,11,59,70,1.4908947035799827,0.10968926197205597
491703,3,1.0,1,5,6,1.446524514864836,0.08224091087736674
493603,139,46.333333333333336,25,44,69,1.4171509408998846,0.06406978755238135
500610,128,42.666666666666664,12,33,45,1.1933594268628815,-0.07437244646053776
500779,149,49.666666666666664,29,57,86,1.5520187857871204,0.14750193118410782
501381,253,84.33333333333333,16,88,104,1.2671653554488909,-0.028714514877146158
501593,15,5.0,3,8,11,1.4295670253932191,0.07175064391705199
501625,140,46.666666666666664,10,34,44,1.1277698075139029,-0.1149475927961946
501789,18,6.0,3,7,10,1.3782637783033531,0.04001335410157014
501925,84,28.0,5,41,46,1.4601329224276034,0.09065936388464346
501985,405,135.0,40,137,177,1.3170468806930893,0.002143267288967632
502042,13,4.333333333333333,1,7,8,1.384766387999062,0.044036008030436946
502043,382,127.33333333333333,50,114,164,1.2998399619082888,-0.008501301998198318
502154,50,16.666666666666668,13,17,30,1.4695803308441828,0.096503733508987
502171,233,77.66666666666667,26,75,101,1.3129358307214731,-0.0003999164624733931
502179,212,70.66666666666667,13,72,85,1.252150012945886,-0.038003328036707806
502202,148,49.333333333333336,21,36,57,1.237953719057061,-0.046785460143593305
502210,2,0.6666666666666666,1,2,3,1.38661003451022,0.04517652733400901
502239,111,37.0,14,43,57,1.4328067517853276,0.0737548082002426
502327,79,26.333333333333332,11,27,38,1.3778989281052643,0.03978764993793893
502522,45,15.0,5,19,24,1.4065766136694746,0.057528281761775046
502624,143,47.666666666666664,19,54,73,1.4408577357620473,0.07873531969343084
502706,94,31.333333333333332,15,40,55,1.516989054567554,0.1258317875784526
503285,32,10.666666666666666,4,10,14,1.3315177767294246,0.01109527417832501
503449,167,55.666666666666664,22,51,73,1.3220530745527295,0.005240206262782987
503569,95,31.666666666666668,24,30,54,1.4963702137540786,0.11307653009133312
506433,393,131.0,30,113,143,1.1503474415666455,-0.10098058376800134
506702,11,3.6666666666666665,1,5,6,1.3608495708537331,0.029240551597132125
517008,138,46.0,17,47,64,1.3653220409977165,0.03200731762467124
518397,46,15.333333333333334,3,16,19,1.3101076013633175,-0.002149519848146153
518516,292,97.33333333333333,21,99,120,1.263753800614533,-0.030824975922813858
518553,150,50.0,26,49,75,1.4259491723285675,0.06951256235816838
518617,133,44.333333333333336,22,35,57,1.310187885352441,-0.0020998544492701887
518633,183,61.0,21,52,73,1.2531672057964443,-0.03737407070646803
518774,324,108.0,33,138,171,1.5149637446259288,0.12457888737759504
518813,141,47.0,23,46,69,1.4064583249161648,0.057455105800044426
518858,57,19.0,8,17,25,1.329927546946621,0.010111523902213926
518876,423,141.0,30,146,176,1.2682290009836978,-0.02805652091937627
518886,135,45.0,14,22,36,1.0568967477238198,-0.15879118879174214
519008,42,14.0,2,11,13,1.233275563258232,-0.049679467732028026
519043,167,55.666666666666664,22,62,84,1.4354274939060847,0.0753760555273838
519076,87,29.0,13,18,31,1.2261812646667087,-0.05406815311177304
519141,76,25.333333333333332,9,19,28,1.2486132764146587,-0.04019122916694129
519151,144,48.0,8,32,40,1.0661776088769481,-0.1530498488793166
519293,147,49.0,18,42,60,1.2757222578892782,-0.02342103136337037
519326,123,41.0,15,36,51,1.2903631300050928,-0.014363873622904366
519443,80,26.666666666666668,19,36,55,1.6210599510630337,0.19021227791366346
519455,16,5.333333333333333,2,9,11,1.4193610046543628,0.06543698042739954
521230,154,51.333333333333336,5,36,41,1.0386242953220455,-0.17009492004483207
523260,89,29.666666666666668,8,25,33,1.2428312935085821,-0.04376808789630926
527048,303,101.0,32,130,162,1.5262364351047888,0.13155241566326326
527054,15,5.0,3,4,7,1.3432801339930305,0.018371720847175976
528748,47,15.666666666666666,7,13,20,1.319985914390797,0.003961416617376257
533167,180,60.0,26,76,102,1.5516485354911704,0.1472728864040328
534910,10,3.3333333333333335,4,6,10,1.4605046379966247,0.09088931511409082
541640,68,22.666666666666668,4,22,26,1.2693811551677268,-0.027343773611460342
542585,151,50.333333333333336,21,40,61,1.268077361080018,-0.028150328618570142
542881,355,118.33333333333333,27,117,144,1.2478553425025007,-0.04066010335318926
542882,112,37.333333333333336,11,58,69,1.579233888117043,0.16433777762653234
542888,60,20.0,10,29,39,1.536425189634984,0.1378553979056384
542914,135,45.0,14,42,56,1.2884935357523017,-0.015520444756389473
542947,131,43.666666666666664,2,46,48,1.2146081096684125,-0.061227555198292705
542960,88,29.333333333333332,15,27,42,1.3760076254442388,0.038617649517173946
543022,84,28.0,20,23,43,1.4168784461072255,0.06390121642485247
543037,410,136.66666666666666,29,104,133,1.0575584470273292,-0.1583818473999704
543045,6,2.0,1,1,2,1.3209040478371392,0.004529393673970872
543056,56,18.666666666666668,3,17,20,1.2540126233152182,-0.03685107728343151
