park,threshold,pct
3313,0.5075,0.5833333333333334
2394,0.5332,1.0
32,0.5428,1.0
17,0.5324,1.0
2681,0.5343,1.0
19,0.5004,0.6666666666666666
2680,0.5363,1.0
2602,0.519,1.0
7,0.5,0.5
1,0.5009,0.6666666666666666
10,0.5292,0.6666666666666666
3,0.5651,1.0
5325,0.5496,1.0
680,0.5516,1.0
3309,0.5367,0.8
4169,0.5446,1.0
3289,0.5062,0.4117647058823529
2,0.5536,1.0
3312,0.5251,0.75
2889,0.5327,0.5
2536,0.5021,0.6
2392,0.5235,1.0
12,0.5559,1.0
2395,0.5296,1.0
4705,0.5577,1.0
15,0.5355,1.0
5,0.5409,1.0
4,0.517,0.5
22,0.5497,1.0
31,0.5144,0.8461538461538461
2756,0.5282,1.0
14,0.5123,1.0
5445,0.5,1.0
2735,0.0,0.0
