park,threshold,pct
3313,0.5894,1.0
2394,0.5808,1.0
32,0.5501,1.0
17,0.5774,1.0
2681,0.5495,0.8
19,0.5897,1.0
2680,0.5496,0.8
2602,0.5625,0.7142857142857143
7,0.5037,0.5434782608695652
1,0.6068,1.0
10,0.5793,1.0
3,0.5859,1.0
5325,0.5667,1.0
680,0.5524,1.0
3309,0.5588,1.0
4169,0.5473,1.0
3289,0.5477,1.0
2,0.5335,0.5
3312,0.5711,1.0
2889,0.5672,1.0
2536,0.5,0.5
2392,0.5535,0.6923076923076923
12,0.5483,0.6666666666666666
2395,0.5674,1.0
4705,0.5686,1.0
15,0.5,0.3333333333333333
5,0.5746,1.0
4,0.5908,1.0
22,0.5,0.6176470588235294
31,0.5648,1.0
2756,0.5081,0.46153846153846156
14,0.5595,1.0
5445,0.0,0.0
2735,0.5,1.0
