batter,stand,woba_L,pa_L,woba_R,pa_R
444482,L,0.31223128681370654,245,0.3443355285376563,798
445055,L,0.29916258669930645,77,0.3165421073188321,176
448179,L,0.28920984619263745,11,0.32887748522299876,23
452657,L,0.29584875049809306,24,0.32723093800361175,61
453281,L,0.30618488253319714,2,0.3289898263850496,13
453568,L,0.3756816434957321,456,0.3560634850209303,855
456034,L,0.31143527267818577,3,0.33677413273001544,12
457803,L,0.30200507526584736,111,0.33211352471599653,364
457918,L,0.2956358077454139,6,0.3377250194179197,2
458015,L,0.32004627177008144,351,0.3753112199952418,855
458731,L,0.2846224766046343,248,0.3489154662222047,822
459964,L,0.3011852943929608,53,0.3449036148326353,404
467827,L,0.2878511425378598,88,0.3291171904626472,312
474463,L,0.31113978565323164,6,0.32342242448447683,31
474832,L,0.3212173845916319,236,0.3610833395635243,791
476594,L,0.30618488253319714,2,0.3377250194179197,2
477132,L,0.2734542039872869,22,0.3094472394703377,76
488671,L,0.30455671504362697,64,0.33317052845273776,277
488726,L,0.3149356086428169,405,0.3857721402328143,902
488771,L,0.26628487394957984,117,0.3459239015854278,392
489119,L,0.293111147327249,7,0.32171736947791196,48
502210,L,0.3183749919612425,246,0.318089142898879,713
502273,L,0.32376170676570326,79,0.3192560560533946,242
502481,L,0.3043225213240473,85,0.2948547016673439,551
518692,L,0.32513191704138755,389,0.412928492544053,1071
518735,L,0.308940841005909,1,0.3493240878016639,780
518792,L,0.28110677141956686,229,0.3467717515534479,830
519043,L,0.2956358077454139,6,0.32982854401856265,10
519048,L,0.2897680666391123,130,0.35969150634363745,586
519058,L,0.340381680187338,255,0.35094342269826523,620
519203,L,0.3578483560140092,328,0.3656119076856401,936
519299,L,0.3158336183985475,180,0.3264401320455238,572
519390,L,0.3125797768032232,104,0.32188600331169964,470
542255,L,0.30724925235794803,89,0.3125962271236238,359
542364,L,0.26596393357550596,37,0.35360516203579323,236
542881,L,0.2906292418072523,8,0.3208746045203585,37
542963,L,0.2982043374452845,5,0.3311112676666959,20
543063,L,0.3041072825444069,290,0.34717355647332526,836
543105,L,0.31691453612460835,58,0.35419668726442927,561
543333,L,0.288275865032573,334,0.3473884989118108,913
543543,L,0.2949257988869833,108,0.3532408661615927,485
543768,L,0.26927704509267886,144,0.30935058150099964,508
543939,L,0.3307943510124972,268,0.3370247366010079,851
544369,L,0.29793428539551486,232,0.33125755248735095,647
546318,L,0.3083699600158716,140,0.3219072075811028,330
547004,L,0.30608741146168705,127,0.3123566375091204,599
547172,L,0.30827358327574295,155,0.30821332701721166,393
547180,L,0.3775685057167599,410,0.3806766225559439,900
547942,L,0.30602367688022286,5,0.3308484685652878,23
553882,L,0.3038627306898793,160,0.3522646751503326,771
554430,L,0.2849287848074256,33,0.30876397606456013,85
570256,L,0.2653732757010593,176,0.3109055107429648,512
571431,L,0.3217743635137414,71,0.31863620205072396,355
571466,L,0.28074303081115076,72,0.3379206183722216,649
571510,L,0.308940841005909,1,0.34047540648560304,4
571521,L,0.308940841005909,1,0.3387387438993657,1
571578,L,0.26097300367885745,31,0.2918416151314603,90
571718,L,0.2895161494777406,191,0.34756728736707937,614
571760,L,0.320457950289411,2,0.3387387438993657,1
571788,L,0.27509581575246134,107,0.32494312104566647,510
571875,L,0.3397638057218896,62,0.3200609577366932,371
571970,L,0.3822347893915756,389,0.36948146092639256,892
571980,L,0.29495683813564316,149,0.33747514492421127,666
572122,L,0.3368057248187191,391,0.33047476621489824,787
572761,L,0.30036156872023906,148,0.3226056999799146,732
572816,L,0.3119713913091737,165,0.34680832752583995,577
572971,L,0.2937515758951084,11,0.3199531960138435,34
573262,L,0.34297682832796217,276,0.3604269812783253,761
592325,L,0.32658518843841783,168,0.3254708129622931,575
592332,L,0.27875325050563426,22,0.31362260796612235,50
592419,L,0.308940841005909,1,0.3377250194179197,2
592530,L,0.2910562202831914,36,0.32198526633925223,173
592567,L,0.2996372673709347,184,0.3440106433919556,720
592622,L,0.31384301631516115,5,0.32466886736183986,39
592626,L,0.31813303801086024,157,0.3517797657674362,903
592662,L,0.274967224837614,18,0.3047630312669878,47
592696,L,0.3087865658271026,333,0.34306351312412475,807
592767,L,0.27713063063063065,17,0.30912740625575386,41
592863,L,0.31570586164407677,20,0.3193340754695441,69
592885,L,0.37255728129341076,346,0.38692408486146074,766
593958,L,0.30870576035324815,4,0.3317678411131063,8
594777,L,0.3173752483232037,278,0.3498080987066181,719
594798,L,0.3096445038993568,24,0.3264036130038436,79
594809,L,0.2898267286859168,269,0.33318827433896797,926
594988,L,0.2796642005047029,23,0.31652253645987266,107
595281,L,0.30253712737127375,242,0.3093823941729283,697
595375,L,0.3251076803321225,37,0.2956907150032237,177
595909,L,0.2830134209898832,114,0.3370216508795672,373
596059,L,0.32781945432154447,330,0.31224882991269787,697
596117,L,0.32675337963537143,13,0.31425887812360476,61
