park,threshold,pct
3313,0.91,100.0
2394,0.14,57.14285714285714
32,1.36,100.0
17,2.02,100.0
2681,1.0,66.66666666666666
19,0.01,50.0
2680,1.39,87.5
2602,0.62,100.0
7,1.06,100.0
1,0.87,100.0
10,0.49,60.0
3,0.65,100.0
5325,0.65,100.0
680,1.15,50.0
3309,0.09,58.620689655172406
4169,1.86,100.0
3289,2.13,50.0
2,0.39,100.0
3312,0.76,50.0
2889,0.53,53.333333333333336
2536,0.01,0.0
2392,0.23,87.5
12,0.85,57.14285714285714
2395,1.32,100.0
4705,1.47,100.0
15,1.0,100.0
5,0.98,100.0
4,0.01,51.61290322580645
22,1.35,100.0
31,0.64,72.22222222222221
2756,0.44,100.0
14,0.39,100.0
5445,0.01,100.0
2735,0.0,0.0
