park,lg,runs,over_threshold,under_threshold,handicap
Baltimore Orioles,al,8.74,1.23,1.16,0.16
Boston Red Sox,al,9.08,1.03111524163569,1.39468401486989,0.11
Chicago White Sox,al,8.47,0.917732342007435,1.52847583643123,0.08
Cleveland Indians,al,9.2,1.05342007434944,1.36836431226766,0.12
Detroit Tigers,al,8.94,1.00509293680297,1.42539033457249,0.1
Houston Astros,al,8.31,0.887992565055762,1.5635687732342,0.07
Kansas City Royals,al,8.87,0.992081784386617,1.44074349442379,0.1
Los Angeles Angels,al,8.34,0.893568773234201,1.55698884758364,0.07
Minnesota Twins,al,9.3,1.07200743494424,1.3464312267658,0.12
New York Yankees,al,9.25,1.06271375464684,1.35739776951673,0.12
Oakland Athletics,al,8.18,0.863828996282528,1.59208178438662,0.07
Seattle Mariners,al,7.46,0.73,1.75,0.03
Tampa Bay Rays,al,8.51,0.925167286245353,1.51970260223048,0.08
Texas Rangers,al,8.37,0.899144981412639,1.55040892193309,0.08
Toronto Blue Jays,al,8.62,0.945613382899628,1.49557620817844,0.09
Arizona Diamondbacks,nl,8.9,1.22159904534606,1.36682577565632,0.1
Atlanta Braves,nl,8.94,1.22770883054893,1.361861575179,0.1
Chicago Cubs,nl,8.9,1.22159904534606,1.36682577565632,0.1
Cincinnati Reds,nl,9.84,1.36517899761337,1.25016706443914,0.15
Colorado Rockies,nl,11.05,1.55,1.1,0.21
Los Angeles Dodgers,nl,8.01,1.08565632458234,1.47727923627685,0.06
Miami Marlins,nl,7.59,1.02150357995227,1.52940334128878,0.04
Milwaukee Brewers,nl,8.59,1.17424821002387,1.40529832935561,0.09
New York Mets,nl,6.86,0.91,1.62,0
Philadelphia Phillies,nl,9.2,1.26742243436754,1.32959427207637,0.12
Pittsburgh Pirates,nl,7.98,1.08107398568019,1.48100238663485,0.06
San Diego Padres,nl,8.39,1.14369928400955,1.43011933174224,0.08
San Francisco Giants,nl,8.6,1.17577565632458,1.40405727923628,0.09
St. Louis Cardinals,nl,7.55,1.0153937947494,1.53436754176611,0.03
Washington Nationals,nl,9.1,1.25214797136038,1.34200477326969,0.11
