pitcher,p_throws,hev_R,ab_R,hev_L,ab_L,ip,wHEV
424144,L,54.78,9,69.5,6,0.7,60.67
425794,R,64.41,275,71.02,289,6.5,67.8
425844,R,70.95,345,63.72,217,5.9,68.16
429722,R,67.65,113,73.71,76,1.7,70.09
431148,L,71.29,17,67.38,8,2.3,70.04
433589,R,68.53,155,68.67,98,1.0,68.58
444482,L,90.83,6,102.0,1,1.0,92.43
445213,R,73.13,68,75.38,48,1.0,74.06
445276,R,51.09,96,55.23,84,1.0,53.02
445926,R,61.07,44,70.6,25,1.1,64.52
446099,R,83.0,2,93.0,1,0.3,86.33
446321,L,62.29,93,55.77,62,1.0,59.68
446372,R,62.92,112,67.25,67,5.2,64.54
448179,L,66.58,340,59.9,105,4.8,65.0
448281,L,70.16,83,61.46,71,0.9,66.15
448855,R,56.78,144,65.75,87,1.6,60.16
450203,R,59.78,273,57.07,204,5.6,58.62
451584,R,72.13,86,73.29,51,1.1,72.56
452027,L,81.8,15,72.62,13,4.7,77.54
452657,L,71.74,310,61.21,95,4.8,69.27
452678,R,82.33,3,89.0,1,0.7,84.0
453178,R,66.49,78,63.39,66,1.0,65.07
453192,L,69.98,61,45.67,57,0.9,58.24
453265,L,67.01,92,58.0,62,0.9,63.38
453268,R,54.49,96,63.14,102,1.0,58.95
453281,L,70.28,123,74.94,62,2.7,71.84
453284,R,70.42,50,63.62,63,1.0,66.63
453286,R,52.14,228,55.63,236,5.8,53.92
453343,R,67.92,99,53.9,70,1.0,62.11
453562,R,67.56,178,70.93,185,4.3,69.28
455119,R,73.3,77,65.33,58,0.9,69.88
456034,L,63.81,160,63.37,83,2.0,63.66
456501,R,59.41,208,68.39,208,5.3,63.9
456713,R,57.67,9,76.5,2,1.0,61.09
457759,R,98.0,2,79.33,3,1.0,86.8
457915,R,71.62,16,74.0,13,1.0,72.69
457918,L,71.69,380,66.01,100,5.1,70.51
458676,R,65.56,43,79.04,23,2.1,70.26
458677,L,63.08,64,69.83,30,0.8,65.23
458681,R,55.54,226,61.75,224,5.6,58.63
458708,R,70.08,121,72.62,72,1.4,71.03
459429,L,65.87,140,64.81,53,1.0,65.58
461325,R,62.62,26,66.78,27,1.0,64.74
461865,R,89.33,3,96.0,1,1.0,91.0
461872,R,70.31,32,74.05,19,0.9,71.7
465657,R,61.33,78,62.9,40,0.9,61.86
467008,R,43.83,6,91.0,1,1.0,50.57
468504,R,60.33,91,64.38,88,1.5,62.32
471911,R,63.09,58,62.28,47,4.1,62.73
472551,L,64.87,15,77.07,14,1.6,70.76
472610,R,64.77,44,58.92,25,1.1,62.65
474463,L,69.35,254,65.51,68,4.2,68.54
475054,R,0.0,2,108.0,1,0.7,36.0
475479,R,58.05,19,53.0,12,0.9,56.1
476454,R,78.0,1,79.0,1,1.0,78.5
476594,R,68.47,17,58.13,15,3.0,63.62
476595,L,63.88,137,61.32,76,1.2,62.97
