park,threshold,pct
3313,0.6845,1.0
2394,0.5986,1.0
32,0.671,1.0
17,0.5,0.6333333333333333
2681,0.5608,0.8125
19,0.6126,1.0
2680,0.6812,1.0
2602,0.5944,1.0
7,0.5209,0.375
1,0.5,0.6
10,0.7294,1.0
3,0.7439,1.0
5325,0.6871,1.0
680,0.5789,0.4444444444444444
3309,0.7145,1.0
4169,0.8196,1.0
3289,0.5109,0.39285714285714285
2,0.5693,0.75
3312,0.679,1.0
2889,0.5,0.6
2536,0.6942,1.0
2392,0.5859,1.0
12,0.6049,0.6666666666666666
2395,0.7377,1.0
4705,0.5333,0.6
15,0.5556,1.0
5,0.5,0.72
4,0.7247,1.0
22,0.5,0.38095238095238093
31,0.7499,1.0
2756,0.6372,1.0
14,0.6695,1.0
5445,0.5,1.0
2735,0.0,0.0
