park,threshold,pct
3313,0.7776,1.0
2394,0.8626,1.0
32,0.7682,0.75
17,0.9012,1.0
2681,0.7987,1.0
19,0.8155,1.0
2680,0.7744,1.0
2602,0.5265,0.35714285714285715
7,0.7708,1.0
1,0.8137,0.42857142857142855
10,0.6086,0.5416666666666666
3,0.5046,0.5263157894736842
5325,0.8341,1.0
680,0.6129,0.6
3309,0.5195,0.7
4169,0.7292,1.0
3289,0.9999,1.0
2,0.5553,0.5625
3312,0.5375,0.4444444444444444
2889,0.8037,1.0
2536,0.5,0.5
2392,0.6709,0.8333333333333334
12,0.6014,0.8
2395,0.6298,0.6
4705,0.6929,0.8
15,0.9182,0.5
5,0.77,1.0
4,0.7929,1.0
22,0.7643,0.6666666666666666
31,0.6083,0.7333333333333333
2756,0.7099,1.0
14,0.8282,1.0
5445,0.0,0.0
2735,0.5,1.0
