park,threshold,pct
3313,0.74,100.0
2394,0.45,100.0
32,1.22,100.0
17,2.24,100.0
2681,1.28,100.0
19,0.01,50.0
2680,2.68,100.0
2602,0.74,100.0
7,0.15,66.66666666666666
1,0.54,100.0
10,0.05,66.66666666666666
3,0.39,100.0
5325,0.49,100.0
680,0.48,57.14285714285714
3309,1.51,100.0
4169,1.6,75.0
3289,1.38,60.0
2,0.52,87.5
3312,0.64,100.0
2889,0.49,83.33333333333334
2536,0.62,100.0
2392,0.01,50.0
12,1.1,100.0
2395,0.94,100.0
4705,1.18,100.0
15,0.98,100.0
5,0.62,100.0
4,0.73,100.0
22,0.88,100.0
31,1.65,100.0
2756,0.01,100.0
14,0.19,100.0
5445,0.0,0.0
2735,0.0,0.0
