park,threshold,pct
3313,1.62,100.0
2394,1.25,100.0
32,1.08,100.0
17,1.52,100.0
2681,0.72,100.0
19,1.98,90.0
2680,0.4,57.14285714285714
2602,1.11,50.0
7,1.64,100.0
1,1.15,100.0
10,0.46,51.515151515151516
3,1.47,100.0
5325,1.16,100.0
680,0.97,66.66666666666666
3309,1.02,100.0
4169,0.03,50.0
3289,0.57,100.0
2,1.72,100.0
3312,1.06,50.0
2889,0.96,100.0
2536,0.7,83.33333333333334
2392,0.76,58.82352941176471
12,1.01,100.0
2395,0.01,56.25
4705,0.79,66.66666666666666
15,1.2,100.0
5,0.32,35.0
4,1.37,100.0
22,1.28,100.0
31,0.76,100.0
2756,1.27,100.0
14,0.75,75.0
5445,0.01,0.0
2735,0.01,100.0
