id,name,runs
482631,Mike Estabrook,-0.31
427292,Ron Kulpa,-0.31
427344,Bill Miller,-0.29
427093,Phil Cuzzi,-0.26
427139,Doug Eddings,-0.26
577468,Roberto Ortiz,-0.26
503502,Ryan Blakney,-0.22
639723,Brennan Miller,-0.19
605672,Jeremie Rehak,-0.19
605670,Dan Merzel,-0.19
503077,Adam Hamari,-0.19
483564,Dan Bellino,-0.19
503586,Tripp Gibson,-0.19
605674,Ryan Wills,-0.17
427192,Brian Gorman,-0.17
427554,Jim Wolf,-0.17
521251,Ben May,-0.17
427168,Marty Foster,-0.17
427366,Brian O'Nora,-0.14
427044,CB Bucknor,-0.14
605673,Alex Tosi,-0.12
427224,Ed Hickox,-0.12
483569,Vic Carapazza,-0.12
521051,Nick Mahrley,-0.12
573597,Gabe Morales,-0.1
484183,Cory Blaser,-0.1
596809,Ryan Additon,-0.1
427537,Hunter Wendelstedt,-0.1
504381,Will Little,-0.07
483561,Lance Barrett,-0.07
427197,Chris Guccione,-0.07
598411,Nestor Ceja,-0.07
483912,Mike Muchlinski,-0.07
483919,Mark Ripperger,-0.07
427248,Dan Iassogna,-0.05
608158,Nate Tomlinson,-0.05
482666,D.J. Reyburn,-0.05
427413,Tony Randazzo,-0.05
623938,Erich Bacchus,-0.05
573769,Jeremy Riggs,-0.05
427538,Joe West,-0.02
427299,Jerry Layne,-0.02
427509,Tim Timmons,-0.02
607884,Paul Clemons,-0.02
503493,Sean Barber,-0.02
427019,Ted Barrett,-0.02
482620,Chris Conroy,-0.02
427129,Bruce Dreckman,0
482608,Scott Barry,0
664265,Jose Navas,0
427128,Rob Drake,0
511890,Quinn Wolcott,0
503490,Chris Segal,0.02
483630,John Tumpane,0.02
427095,Kerwin Danley,0.02
623949,Clint Vondrak,0.02
605671,Charlie Ramos,0.02
427113,Laz Diaz,0.05
427220,Angel Hernandez,0.05
427206,Tom Hallion,0.05
484499,Manny Gonzalez,0.05
427090,Fieldin Culbreth,0.05
644760,Adam Beck,0.05
596740,Jansen Visconti,0.05
623946,Malachi Moore,0.05
427243,Marvin Hudson,0.05
573596,Pat Hoberg,0.07
429805,Todd Tichenor,0.07
607886,Lew Williams,0.07
427534,Bill Welke,0.1
490319,Jordan Baker,0.1
427362,Jeff Nelson,0.1
524988,Tom Woodring,0.1
482641,Adrian Johnson,0.1
489985,Chad Whitson,0.1
427013,Lance Barksdale,0.1
545402,John Bacon,0.1
427520,Larry Vanover,0.1
427361,Paul Nauert,0.1
482663,David Rackley,0.1
622329,Randy Rosenberg,0.12
644661,Kyle McCrady,0.12
608093,Junior Valentine,0.12
427424,Jim Reynolds,0.12
547380,Carlos Torres,0.12
427164,Andy Fletcher,0.12
594151,Ramon De Jesus,0.12
431232,Chad Fairchild,0.14
596805,John Libka,0.14
486200,David Arrieta,0.14
484198,Alan Porter,0.14
427184,Greg Gibson,0.14
428442,James Hoye,0.17
427339,Jerry Meals,0.17
575629,Shane Livensparger,0.17
427286,Brian Knight,0.17
427053,Mark Carlson,0.17
544728,Nic Lentz,0.19
521889,Stu Scheurwater,0.19
427103,Gerry Davis,0.19
427235,Sam Holbrook ,0.22
427533,Mark Wegner,0.29
554242,Edwin Moscoso,0.31
427315,Alfonso Marquez,0.31
