park,threshold,pct
3313,0.76,90.9090909090909
2394,1.57,100.0
32,0.4,66.66666666666666
17,1.47,100.0
2681,1.26,100.0
19,3.42,100.0
2680,0.61,50.0
2602,1.77,100.0
7,1.82,100.0
1,2.12,100.0
10,1.36,100.0
3,2.02,100.0
5325,1.2,100.0
680,0.82,75.0
3309,0.91,100.0
4169,0.01,0.0
3289,0.21,50.0
2,0.01,40.0
3312,0.14,55.55555555555556
2889,0.88,100.0
2536,2.25,100.0
2392,1.74,100.0
12,1.15,100.0
2395,0.79,71.42857142857143
4705,0.09,50.0
15,1.78,100.0
5,1.27,75.0
4,1.76,100.0
22,0.79,100.0
31,1.37,100.0
2756,0.07,46.666666666666664
14,1.26,100.0
