whip,runs
0.95,-0.17
0.96,-0.164
0.97,-0.159
0.98,-0.153
0.99,-0.147
1.0,-0.142
1.01,-0.136
1.02,-0.13
1.03,-0.125
1.04,-0.119
1.05,-0.113
1.06,-0.108
1.07,-0.102
1.08,-0.096
1.09,-0.091
1.1,-0.085
1.11,-0.079
1.12,-0.074
1.13,-0.068
1.14,-0.062
1.15,-0.057
1.16,-0.051
1.17,-0.045
1.18,-0.04
1.19,-0.034
1.2,-0.028
1.21,-0.023
1.22,-0.017
1.23,-0.011
1.24,-0.006
1.25,-0.0
1.26,0.006
1.27,0.011
1.28,0.017
1.29,0.023
1.3,0.028
1.31,0.034
1.32,0.04
1.33,0.045
1.34,0.051
1.35,0.057
1.36,0.062
1.37,0.068
1.38,0.074
1.39,0.079
1.4,0.085
1.41,0.091
1.42,0.096
1.43,0.102
1.44,0.108
1.45,0.113
1.46,0.119
1.47,0.125
1.48,0.13
1.49,0.136
1.5,0.142
1.51,0.147
1.52,0.153
1.53,0.159
1.54,0.164
1.55,0.17
