woba,runs
0.29,-0.12
0.291,-0.11759090909090908
0.292,-0.11518181818181816
0.293,-0.11277272727272725
0.294,-0.11036363636363644
0.295,-0.10795454545454553
0.296,-0.10554545454545461
0.297,-0.10313636363636369
0.298,-0.10072727272727278
0.299,-0.09831818181818186
0.3,-0.09590909090909094
0.301,-0.09350000000000003
0.302,-0.09109090909090911
0.303,-0.0886818181818182
0.304,-0.08627272727272728
0.305,-0.08386363636363636
0.306,-0.08145454545454545
0.307,-0.07904545454545453
0.308,-0.07663636363636361
0.309,-0.0742272727272727
0.31,-0.07181818181818178
0.311,-0.06940909090909086
0.312,-0.06699999999999995
0.313,-0.06459090909090914
0.314,-0.06218181818181823
0.315,-0.05977272727272731
0.316,-0.057363636363636394
0.317,-0.05495454545454548
0.318,-0.05254545454545456
0.319,-0.050136363636363646
0.32,-0.04772727272727273
0.321,-0.04531818181818181
0.322,-0.0429090909090909
0.323,-0.04049999999999998
0.324,-0.038090909090909064
0.325,-0.03568181818181815
0.326,-0.03327272727272723
0.327,-0.030863636363636315
0.328,-0.0284545454545454
0.329,-0.026045454545454483
0.33,-0.023636363636363567
0.331,-0.02122727272727265
0.332,-0.018818181818181845
0.333,-0.01640909090909093
0.334,-0.014000000000000012
0.335,-0.011590909090909096
0.336,-0.00918181818181818
0.337,-0.006772727272727264
0.338,-0.004363636363636347
0.339,-0.001954545454545431
0.34,0.00045454545454548523
0.341,0.0028636363636364015
0.342,0.005272727272727318
0.343,0.007681818181818234
0.344,0.01009090909090904
0.345,0.012499999999999956
0.346,0.014909090909090872
0.347,0.017318181818181677
0.348,0.019727272727272593
0.349,0.02213636363636351
0.35,0.024545454545454426
0.351,0.026954545454545342
0.352,0.02936363636363626
0.353,0.031772727272727175
0.354,0.03418181818181809
0.355,0.03659090909090901
0.356,0.038999999999999924
0.357,0.04140909090909084
0.358,0.043818181818181756
0.359,0.04622727272727267
0.36,0.04863636363636359
0.361,0.051045454545454505
0.362,0.05345454545454542
0.363,0.05586363636363634
0.364,0.058272727272727254
0.365,0.06068181818181817
0.366,0.06309090909090898
0.367,0.06549999999999989
0.368,0.06790909090909081
0.369,0.07031818181818172
0.37,0.07272727272727264
0.371,0.07513636363636356
0.372,0.07754545454545447
0.373,0.07995454545454539
0.374,0.0823636363636363
0.375,0.08477272727272722
0.376,0.08718181818181814
0.377,0.08959090909090905
0.378,0.09199999999999997
0.379,0.09440909090909089
0.38,0.0968181818181818
0.381,0.09922727272727272
0.382,0.10163636363636364
0.383,0.10404545454545455
0.384,0.10645454545454547
0.385,0.10886363636363627
0.386,0.11127272727272719
0.387,0.1136818181818181
0.388,0.11609090909090902
0.389,0.11849999999999994
0.39,0.12090909090909085
0.391,0.12331818181818177
0.392,0.1257272727272727
0.393,0.1281363636363636
0.394,0.13054545454545452
0.395,0.13295454545454544
0.396,0.13536363636363635
0.397,0.13777272727272727
0.398,0.14018181818181819
0.399,0.1425909090909091
0.4,0.14500000000000002
