name,games,correct_ball,correct_strike,ball_rank,strike_rank,score,runs
Nestor Ceja,11,0.9595,0.8293,0.05,2.48,27.47,1
John Libka,66,0.9669,0.8221,-0.8,2.13,21.83,0.81
Ryan Wills,13,0.9579,0.8171,0.23,1.87,21.12,0.79
Mark Wegner,384,0.9471,0.8102,1.47,1.53,19.8,0.74
Shane Livensparger,42,0.9618,0.8157,-0.22,1.81,19.48,0.73
Brennan Miller,28,0.9642,0.8152,-0.5,1.78,18.64,0.7
Pat Hoberg,199,0.9645,0.8145,-0.53,1.74,18.15,0.69
Junior Valentine,13,0.9634,0.809,-0.41,1.47,15.42,0.6
James Hoye,399,0.9534,0.8039,0.74,1.21,14.88,0.58
Alan Porter,309,0.9604,0.8067,-0.05,1.36,14.85,0.58
Malachi Moore,9,0.9413,0.7966,2.13,0.85,13.66,0.54
Carlos Torres,153,0.9556,0.8019,0.49,1.11,13.26,0.52
Alfonso Marquez,372,0.9496,0.7989,1.19,0.97,13.05,0.52
Jose Navas,22,0.9435,0.7956,1.88,0.8,12.59,0.5
Lance Barksdale,397,0.9509,0.7982,1.03,0.93,12.32,0.49
Edwin Moscoso,29,0.9671,0.8048,-0.83,1.26,12.22,0.49
Ryan Blakney,171,0.9585,0.8003,0.16,1.04,11.76,0.47
Jansen Visconti,82,0.9602,0.7984,-0.04,0.94,10.3,0.42
Greg Gibson,371,0.9532,0.7935,0.77,0.7,9.21,0.39
Chris Guccione,401,0.9572,0.7932,0.31,0.68,8.11,0.35
Chris Segal,173,0.9658,0.7939,-0.67,0.72,6.56,0.3
Jordan Baker,255,0.9585,0.7902,0.16,0.53,6.17,0.29
John Bacon,19,0.9723,0.7952,-1.42,0.78,5.76,0.27
Todd Tichenor,371,0.9599,0.7895,0,0.5,5.45,0.26
Chris Conroy,279,0.963,0.7906,-0.35,0.55,5.38,0.26
Jeremie Rehak,79,0.9762,0.7957,-1.87,0.8,5.11,0.25
Jim Reynolds,389,0.9593,0.7886,0.07,0.45,5.1,0.25
Tony Randazzo,326,0.9566,0.787,0.38,0.37,4.86,0.24
Bill Welke,391,0.9459,0.782,1.6,0.12,4.57,0.23
Larry Vanover,392,0.9487,0.7831,1.28,0.18,4.52,0.23
Adam Beck,13,0.9694,0.7914,-1.08,0.59,4.33,0.22
D.J. Reyburn,301,0.9606,0.7875,-0.08,0.39,4.19,0.22
